A1: Ladder,B1: 4878,C1: 3607,D1: 786,E1: 3159,F1: 280,G1: 338,H1: 1550,A2: 5182,B2: 1145,C2: 2666,D2: 3973,E2: 734,F2: n1,G2: n2,H2: n3
5.36676,5.158616,4.356576,4.534021,3.959535,3.081306,3.13081,2.798386,5.887827,5.323135,4.838791,3.992798,4.080989,3.597673,2.915894,3.442127
5.110093,5.103031,4.239141,4.356094,3.761447,2.946693,2.971463,2.647811,5.722446,5.154272,4.79631,3.783217,3.873435,3.461091,2.781827,3.314721
4.930366,4.887962,4.044055,4.202742,3.663818,2.820542,2.858476,2.495056,5.512034,5.016012,4.694789,3.657983,3.67314,3.347131,2.650675,3.238519
4.73291,4.718705,3.928777,4.043994,3.57872,2.685901,2.739388,2.423315,5.379905,4.921206,4.541698,3.574491,3.538576,3.261168,2.465147,3.10812
4.570971,4.5481,3.85225,3.902194,3.49544,2.596401,2.641246,2.368675,5.200045,4.739274,4.350854,3.528959,3.377459,3.137756,2.311702,2.942567
4.541521,4.376327,3.756612,3.773905,3.325637,2.53458,2.573985,2.292216,5.007968,4.540608,4.190983,3.429784,3.225992,3.041249,2.237003,2.806422
4.633873,4.217069,3.67415,3.635246,3.130267,2.460292,2.520248,2.153028,4.808246,4.394875,4.048957,3.247882,3.107611,2.910931,2.139902,2.732668
4.474851,4.10759,3.61411,3.475334,2.996744,2.391674,2.430451,2.02945,4.645479,4.299052,3.872083,3.170836,3.045905,2.754775,2.053654,2.667335
4.22607,4.015431,3.512407,3.333526,2.863291,2.299066,2.342701,1.9393,4.606773,4.194885,3.775822,3.142299,2.886002,2.633129,2.019211,2.620322
4.091056,3.833051,3.324708,3.177656,2.789121,2.195634,2.310423,1.854928,4.594821,4.060581,3.64814,3.119507,2.734447,2.543756,2.003181,2.548614
3.860828,3.728729,3.113006,3.059879,2.682223,2.162371,2.244006,1.781145,4.570078,3.921944,3.584714,3.053623,2.640423,2.461992,1.936009,2.451287
3.619439,3.680079,2.993008,2.989913,2.63032,2.139244,2.19069,1.716643,4.464555,3.819065,3.502584,2.933877,2.545522,2.369328,1.886379,2.298455
3.626613,3.574523,2.924698,3.020908,2.523835,2.123708,2.141656,1.62048,4.385381,3.76101,3.400696,2.707924,2.465161,2.263109,1.832136,2.114995
3.588119,3.483735,2.925678,3.007883,2.405954,2.070129,2.040791,1.583423,4.351488,3.685411,3.269314,2.58187,2.458669,2.167951,1.757123,2.008719
3.525351,3.457807,2.893916,2.958901,2.351664,2.000093,1.899023,1.508146,4.261683,3.641727,3.189111,2.584643,2.458668,2.015129,1.697322,1.96732
3.366373,3.416146,2.80966,2.918869,2.305958,1.90389,1.828495,1.457345,4.256438,3.59215,3.126986,2.575088,2.379175,1.91867,1.692387,1.898867
3.322715,3.358725,2.724293,2.784026,2.260182,1.80497,1.777445,1.404579,4.201462,3.540673,3.045584,2.566911,2.303337,1.856352,1.717075,1.815809
3.226507,3.331974,2.592412,2.642866,2.211049,1.781107,1.781213,1.350499,4.112174,3.529093,2.956703,2.57048,2.214743,1.848245,1.744617,1.782649
3.222702,3.315919,2.516079,2.544818,2.169635,1.754908,1.848713,1.268706,4.019668,3.55635,2.9124,2.504582,2.126194,1.877608,1.705706,1.705139
